pred,resp
92,4.6944
72,15.5424
18,12.6656
38,15.6176
71,12.7858
68,16.3456
79,13.9202
47,12.6274
19,13.3162
76,13.2528
90,3.8
70,18
33,16.3646
16,13.4688
32,10.3584
4,27.7152
6,25.8848
71,16.7858
31,12.3698
62,12.8064
62,13.8064
5,21.775
18,18.6656
42,12.0144
54,14.4352
18,18.6656
63,17.7826
51,14.1178
99,-8.4518
9,20.5022
13,15.9526
86,6.3968
21,11.7158
4,21.7152
24,14.0432
10,21.8
77,15.8454
77,15.8454
46,17.5008
52,17.2304
22,17.4624
36,15.4768
26,13.7328
72,16.5424
25,13.875
82,13.2384
70,13
48,12.7536
74,10.9632
32,11.3584
16,13.4688
36,16.4768
54,14.4352
59,14.7722
54,13.4352
38,15.6176
30,10.4
85,11.175
52,17.2304
9,23.5022
5,22.775
14,18.4192
81,12.8398
77,11.8454
90,6.8
93,2.5606
67,12.4794
57,14.6734
97,-7.5426
100,-6
90,5.8
73,16.2686
86,6.3968
18,16.6656
54,12.4352
89,5.7742
53,18.3366
92,1.6944
13,20.9526
15,19.925
34,12.3872
51,14.1178
15,19.925
28,11.5216
78,13.4016
30,15.4
82,8.2384
34,16.3872
38,16.6176
86,4.3968
43,12.1306
70,17
60,16.8
90,4.8
100,-9
7,22.0434
44,16.2512
97,-3.5426
84,5.9072
58,16.7296
15,18.925
22,14.4624
12,16.5264
47,16.6274
100,-8
28,14.5216
8,20.2496
61,17.8118
47,17.6274
33,14.3646
39,16.7042
68,12.3456
61,17.8118
25,16.875
8,22.2496
85,11.175
78,15.4016
2,24.7504
13,14.9526
44,14.2512
19,16.3162
27,10.6154
89,3.7742
95,0.125
75,13.625
81,10.8398
11,18.1418
36,10.4768
19,12.3162
62,14.8064
55,12.525
37,16.5414
55,18.525
47,12.6274
60,14.8
57,14.6734
17,17.0494
71,11.7858
16,18.4688
48,16.7536
58,14.7296
77,12.8454
89,5.7742
98,-7.9664
16,17.4688
2,24.7504
31,11.3698
93,0.5606
88,5.6976
86,7.3968
72,16.5424
78,14.4016
58,15.7296
58,15.7296
38,12.6176
43,11.1306
83,9.5946
13,20.9526
23,11.2386
12,20.5264
25,15.875
59,16.7722
14,14.4192
66,12.5888
48,13.7536
94,-0.6288
70,18
83,8.5946
86,7.3968
28,10.5216
26,16.7328
32,14.3584
53,16.3366
98,-7.9664
50,15
22,11.4624
14,14.4192
78,12.4016
92,0.6944
87,3.5714
97,-6.5426
69,16.1862
38,11.6176
40,14.8
98,-3.9664
45,14.375
86,5.3968
12,17.5264
14,15.4192
26,13.7328
42,14.0144
24,12.0432
26,10.7328
24,16.0432
67,16.4794
58,17.7296
23,13.2386
39,10.7042
16,14.4688
26,11.7328
